runid,scenario_urbansim,county,county_name,year,shr_occ_management,shr_occ_manual,shr_occ_professional,shr_occ_retail,shr_occ_services,shr_occ_military
RC6_COVID,20: No Project (Plan Bay Area 2050),7,Napa,2040,0.16908,0.34703,0.16228,0.16388,0.15773,0.0
RC6_COVID,20: No Project (Plan Bay Area 2050),7,Napa,2045,0.1704,0.34796,0.16191,0.16283,0.15691,0.0
RC6_COVID,20: No Project (Plan Bay Area 2050),7,Napa,2050,0.17175,0.34939,0.16133,0.16147,0.15606,0.0
RC6_COVID,20: No Project (Plan Bay Area 2050),1,San Francisco,2010,0.24349,0.19133,0.22586,0.16441,0.17492,0.0
RC6_COVID,20: No Project (Plan Bay Area 2050),1,San Francisco,2015,0.24741,0.18856,0.23814,0.16055,0.16533,0.0
RC6_COVID,20: No Project (Plan Bay Area 2050),1,San Francisco,2020,0.25504,0.18538,0.25402,0.14528,0.16027,0.0
RC6_COVID,20: No Project (Plan Bay Area 2050),1,San Francisco,2025,0.25318,0.18651,0.25113,0.15532,0.15385,0.0
RC6_COVID,20: No Project (Plan Bay Area 2050),1,San Francisco,2030,0.2556,0.18466,0.2532,0.15418,0.15237,0.0
RC6_COVID,20: No Project (Plan Bay Area 2050),1,San Francisco,2035,0.25671,0.1835,0.25621,0.15344,0.15013,0.0
RC6_COVID,20: No Project (Plan Bay Area 2050),1,San Francisco,2040,0.25778,0.18267,0.25824,0.15315,0.14816,0.0
RC6_COVID,20: No Project (Plan Bay Area 2050),1,San Francisco,2045,0.25924,0.18162,0.26091,0.15158,0.14666,0.0
RC6_COVID,20: No Project (Plan Bay Area 2050),1,San Francisco,2050,0.26035,0.18123,0.26306,0.15026,0.14511,0.0
RC6_COVID,20: No Project (Plan Bay Area 2050),2,San Mateo,2010,0.19933,0.23435,0.21708,0.1758,0.17265,0.0008
RC6_COVID,20: No Project (Plan Bay Area 2050),2,San Mateo,2015,0.19878,0.24106,0.22373,0.16457,0.17123,0.00064
RC6_COVID,20: No Project (Plan Bay Area 2050),2,San Mateo,2020,0.20739,0.22739,0.24523,0.15007,0.16921,0.0007
RC6_COVID,20: No Project (Plan Bay Area 2050),2,San Mateo,2025,0.2062,0.23075,0.24225,0.15747,0.1627,0.00063
RC6_COVID,20: No Project (Plan Bay Area 2050),2,San Mateo,2030,0.20939,0.22645,0.24625,0.15654,0.1608,0.00056
RC6_COVID,20: No Project (Plan Bay Area 2050),2,San Mateo,2035,0.21117,0.22468,0.24936,0.15583,0.15842,0.00053
RC6_COVID,20: No Project (Plan Bay Area 2050),2,San Mateo,2040,0.21259,0.22343,0.25137,0.15602,0.1561,0.0005
RC6_COVID,20: No Project (Plan Bay Area 2050),2,San Mateo,2045,0.21452,0.22164,0.25434,0.15497,0.15407,0.00047
RC6_COVID,20: No Project (Plan Bay Area 2050),2,San Mateo,2050,0.21638,0.21999,0.25743,0.15379,0.15196,0.00044
RC6_COVID,20: No Project (Plan Bay Area 2050),3,Santa Clara,2010,0.19593,0.23327,0.27514,0.14457,0.15081,0.00029
RC6_COVID,20: No Project (Plan Bay Area 2050),3,Santa Clara,2015,0.19681,0.23233,0.28241,0.14098,0.14723,0.00024
RC6_COVID,20: No Project (Plan Bay Area 2050),3,Santa Clara,2020,0.20137,0.22744,0.29818,0.1276,0.14516,0.00025
RC6_COVID,20: No Project (Plan Bay Area 2050),3,Santa Clara,2025,0.20059,0.22261,0.29846,0.13734,0.14077,0.00023
RC6_COVID,20: No Project (Plan Bay Area 2050),3,Santa Clara,2030,0.20256,0.22009,0.30053,0.13696,0.13966,0.0002
RC6_COVID,20: No Project (Plan Bay Area 2050),3,Santa Clara,2035,0.2036,0.21849,0.30349,0.13658,0.13764,0.00019
RC6_COVID,20: No Project (Plan Bay Area 2050),3,Santa Clara,2040,0.20443,0.2171,0.30607,0.1368,0.13543,0.00018
RC6_COVID,20: No Project (Plan Bay Area 2050),3,Santa Clara,2045,0.20585,0.21438,0.3106,0.13564,0.13336,0.00017
RC6_COVID,20: No Project (Plan Bay Area 2050),3,Santa Clara,2050,0.20727,0.21171,0.31535,0.13428,0.13123,0.00016
RC6_COVID,20: No Project (Plan Bay Area 2050),6,Solano,2010,0.12109,0.34659,0.16075,0.14499,0.20667,0.01992
RC6_COVID,20: No Project (Plan Bay Area 2050),6,Solano,2015,0.11995,0.36128,0.15754,0.14499,0.19946,0.01679
RC6_COVID,20: No Project (Plan Bay Area 2050),6,Solano,2020,0.12209,0.36925,0.16359,0.13082,0.19636,0.0179
RC6_COVID,20: No Project (Plan Bay Area 2050),6,Solano,2025,0.12095,0.37043,0.16179,0.14078,0.18943,0.01662
RC6_COVID,20: No Project (Plan Bay Area 2050),6,Solano,2030,0.1216,0.36783,0.16204,0.14283,0.19031,0.01539
RC6_COVID,20: No Project (Plan Bay Area 2050),6,Solano,2035,0.12185,0.36665,0.16322,0.14305,0.18999,0.01525
RC6_COVID,20: No Project (Plan Bay Area 2050),6,Solano,2040,0.1219,0.36656,0.1635,0.14365,0.18951,0.01488
RC6_COVID,20: No Project (Plan Bay Area 2050),6,Solano,2045,0.1222,0.36767,0.16353,0.143,0.18881,0.01478
RC6_COVID,20: No Project (Plan Bay Area 2050),6,Solano,2050,0.12247,0.36937,0.16342,0.14213,0.18793,0.01467
RC6_COVID,20: No Project (Plan Bay Area 2050),8,Sonoma,2010,0.15964,0.31187,0.16748,0.17101,0.18611,0.00388
RC6_COVID,20: No Project (Plan Bay Area 2050),8,Sonoma,2015,0.15408,0.3239,0.16274,0.17411,0.18186,0.00331
RC6_COVID,20: No Project (Plan Bay Area 2050),8,Sonoma,2020,0.15695,0.32782,0.16896,0.16067,0.18173,0.00387
RC6_COVID,20: No Project (Plan Bay Area 2050),8,Sonoma,2025,0.15596,0.3281,0.16403,0.17307,0.17534,0.0035
RC6_COVID,20: No Project (Plan Bay Area 2050),8,Sonoma,2030,0.15744,0.32595,0.16414,0.17301,0.17627,0.00318
RC6_COVID,20: No Project (Plan Bay Area 2050),8,Sonoma,2035,0.1582,0.32576,0.16475,0.17267,0.1755,0.00312
RC6_COVID,20: No Project (Plan Bay Area 2050),8,Sonoma,2040,0.15885,0.32533,0.16509,0.17291,0.17478,0.00303
RC6_COVID,20: No Project (Plan Bay Area 2050),8,Sonoma,2045,0.15991,0.32587,0.16538,0.17174,0.17411,0.003
RC6_COVID,20: No Project (Plan Bay Area 2050),8,Sonoma,2050,0.16094,0.32706,0.16553,0.17021,0.17329,0.00297
